R2,330,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,,,,,,,,,,,
R5,330,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,,,,,,,,,,,
R6,330,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,,,,,,,,,,,
B1,748421245,BALUN0805,BALUN,0805 footprint balun- Ember 351/357,,,,,,,,,,,,,,,,,,,
K1,6.53002E+11,6.53002E+11,6.53002E+11,"WR-WTB 1.25mm Male Vertical Shrouded Header, 2 Pins=>Code : Con_WTB_1.25_PCB_THT_653002114822",,,unknown,,,,,,,,,,,,,,,,
K2,6.53002E+11,6.53002E+11,6.53002E+11,"WR-WTB 1.25mm Male Vertical Shrouded Header, 2 Pins=>Code : Con_WTB_1.25_PCB_THT_653002114822",,,unknown,,,,,,,,,,,,,,,,
K3,6.53002E+11,6.53002E+11,6.53002E+11,"WR-WTB 1.25mm Male Vertical Shrouded Header, 2 Pins=>Code : Con_WTB_1.25_PCB_THT_653002114822",,,unknown,,,,,,,,,,,,,,,,
K4,6.53002E+11,6.53002E+11,6.53002E+11,"WR-WTB 1.25mm Male Vertical Shrouded Header, 2 Pins=>Code : Con_WTB_1.25_PCB_THT_653002114822",,,unknown,,,,,,,,,,,,,,,,
C15,0.1uF,C-USC0805,C0805,"CAPACITOR, American symbol",,,,,,,,,,,,,,,,,,,
C25,0.22uF,CAP0805,805,Capacitor,,,,,,,,,,,,,,,,,,,
C9,0.75pF,C-USC0805,C0805,"CAPACITOR, American symbol",,,,,,,,,,,,,,,,,,,
C4,100nF,CAP0805,805,Capacitor,,,,,,,,,,,,,,,,,,,
R1,10k,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,,,,,,,,,,,
R3,10k,RESISTOR0805-RES,805,Resistor,,,,,,,,,,,,,,,,,,,
R10,10k,RESISTOR0805-RES,805,Resistor,,,,,,,,,,,,,,,,,,,
C12,10nF,C-USC0805,C0805,"CAPACITOR, American symbol",,,,,,,,,,,,,,,,,,,
C24,10uF,C-USC0805,C0805,"CAPACITOR, American symbol",,,,,,,,,,,,,,,,,,,
C5,12pF,C-USC0805,C0805,"CAPACITOR, American symbol",,,,,,,,,,,,,,,,,,,
C6,12pF,C-USC0805,C0805,"CAPACITOR, American symbol",,,,,,,,,,,,,,,,,,,
Y1,16MHz,CRYSTAL5X3,CRYSTAL-SMD-5X3,Various standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534,,,,,,,,,,,,,,,,,,,
C1,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",,,,,,,,,,,,,,,,,,,
C2,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",,,,,,,,,,,,,,,,,,,
C3,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",,,,,,,,,,,,,,,,,,,
C7,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",,,,,,,,,,,,,,,,,,,
C8,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",,,,,,,,,,,,,,,,,,,
C10,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",,,,,,,,,,,,,,,,,,,
C13,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",,,,,,,,,,,,,,,,,,,
C14,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",,,,,,,,,,,,,,,,,,,
C23,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",,,,,,,,,,,,,,,,,,,
C11,22pF,C-USC0805,C0805,"CAPACITOR, American symbol",,,,,,,,,,,,,,,,,,,
C26,4.7uF,CAP0805,805,Capacitor,,,,,,,,,,,,,,,,,,,
A1,ANTENNA2SMD5,ANTENNA2SMD5,ANTENNA-CHIP5,Chip antenna,,,,,,,,,,,,,,,,,,,
U1,ATMEGA128RFA1,ATMEGA128RFA1,QFN-64,ATmega128RFA1,,,,,,,,,,,,,,,,,,,
