"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";
"1";"";"SWITCH-MOMENTARY-2SMD";"TACTILE_SWITCH_SMD";"S1";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"";"";"";
"1";"0.1uF";"C-USC0805";"C0805";"C15";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"1";"0.22uF";"C-USC0805";"C0805";"C25";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"1";"0.75pF";"C-USC0805";"C0805";"C9";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"1";"100nF";"C-USC0805";"C0805";"C4";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"1";"100uF";"C-USC0805";"C0805";"C23";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"4";"10K";"R-US_R0805";"R0805";"R11, R12, R13, R14";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"3";"10k";"R-US_R0805";"R0805";"R1, R3, R10";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"1";"10nF";"C-USC0805";"C0805";"C12";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"1";"10uF";"C-USC0805";"C0805";"C24";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"2";"12pF";"C-USC0805";"C0805";"C5, C6";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"1";"16MHz";"CRYSTAL5X3";"CRYSTAL-SMD-5X3";"Y1";"Various standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534";"";"";"";"";"";"";"";
"7";"1uF";"C-USC0805";"C0805";"C1, C2, C3, C7, C8, C13, C14";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"1";"200uF";"C-USC0805";"C0805";"C10";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"1";"22pF";"C-USC0805";"C0805";"C11";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"3";"330";"R-US_R0805";"R0805";"R2, R5, R6";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"1";"4.7uF";"C-USC0805";"C0805";"C26";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"4";"653002114822";"653002114822";"653002114822";"K1, K2, K3, K4";"WR-WTB 1.25mm Male Vertical Shrouded Header, 2 Pins=>Code : Con_WTB_1.25_PCB_THT_653002114822";"";"";"unknown";"";"";"";"";
"1";"748421245";"BALUN0805";"BALUN";"B1";"0805 footprint balun- Ember 351/357";"";"";"";"";"";"";"";
"1";"ANTENNA2SMD5";"ANTENNA2SMD5";"ANTENNA-CHIP5";"A1";"Chip antenna";"";"";"";"";"";"";"";
"1";"ATMEGA128RFA1";"ATMEGA128RFA1";"QFN-64";"U1";"ATmega128RFA1";"";"";"";"";"";"";"";
"4";"BAS16WS";"BAS16WS";"SOD323_ST";"D1, D2, D3, D4";"Small Signal Fast Switching Diode";"";"";"";"";"";"";"";
"1";"Battery";"M02PTH";"1X02";"JP3";"Header 2";"";"";"";"";"";"";"";
"2";"FTDI";"FTDI_BASICPTH";"FTDI_BASIC";"JP2, JP9";"FTDI Basic header with labels";"";"";"";"";"";"";"";
"2";"GREEN";"LEDCHIP-LED0805";"CHIP-LED0805";"ARM, BOT";"LED";"";"";"";"";"";"";"";
"1";"ISP";"AVR_SPI_PRG_6NS";"2X3-NS";"J1";"AVR ISP 6 Pin";"";"";"";"";"";"";"";
"2";"JUMP";"C-USC0805";"C0805";"C16, C17";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"1";"LSM9DS0";"LSM9DS0";"LGA-24";"U4";"IMU";"";"";"";"";"";"";"";
"1";"RED";"LEDCHIP-LED0805";"CHIP-LED0805";"PWR";"LED";"";"";"";"";"";"";"";
"4";"SI2302CDS-T1-E3";"SI2302CDS-T1-E3";"SOT95P237X112-3N";"U3, U5, U6, U7";"N-Channel 30 V (D-S) MOSFET";"";"SI2302CDS-T1-E3";"2056680";"64T4057";"SOT-23-3";"";"VISHAY SILICONIX";
"1";"SW";"SWITCH-SPDTPTH";"SWITCH-SPDT";"S2";"SPDT Switch";"";"";"";"";"";"SWCH-08261";"";
"1";"TPS73633-DBVT";"TPS73633-DBVT";"SOT23-DBV";"U2";"";"";"";"";"";"";"";"";
